time,ref,meas,u,target_h,error
27.2,,5.57436275482178,5.57436275482178,7.1500015,0.95000005
27.3,,5.07815217971802,5.07815217971802,6.269998,0.93
27.4,,4.34168910980225,4.34168910980225,5.389999,0.91
27.5,,3.95089340209961,3.95089340209961,6.0000024,0.90000004
27.6,,3.72321081161499,3.72321081161499,5.029999,0.87
27.7,,3.17072534561157,3.17072534561157,3.3600001,0.84000003
27.8,,2.84913158416748,2.84913158416748,4.670003,0.83000004
27.9,,3.13199186325073,3.13199186325073,3.6099994,0.79
28,,2.83307886123657,2.83307886123657,1.9400009,0.76000005
28.1,,2.22719025611877,2.22719025611877,1.5800008,0.72
28.2,,1.88648891448975,1.88648891448975,1.3099964,0.69
28.3,,2.15779638290405,2.15779638290405,0.9500008,0.65000004
28.4,,1.40167701244354,1.40167701244354,0.68000054,0.62
28.5,,1.44163656234741,1.44163656234741,0.3200009,0.58000004
28.6,,1.45454251766205,1.45454251766205,-1.5300026,0.53
28.7,,0.129205286502838,0.129205286502838,-1.8900023,0.49
28.8,,0.734468281269074,0.734468281269074,-1.5499942,0.45000005
28.9,,0.628624022006989,0.628624022006989,-1.1199946,0.42000008
29,,0.113985255360603,0.113985255360603,-1.4800037,0.38
29.1,,-0.602603197097778,-0.602603197097778,-3.330002,0.33000004
29.2,,-0.383042335510254,-0.383042335510254,-3.6899931,0.29000008
29.3,,-0.027841374278069,-0.027841374278069,-2.5600038,0.26
29.4,,-0.909955859184265,-0.909955859184265,-2.9200034,0.22000003
29.5,,-0.558731973171234,-0.558731973171234,-3.1899948,0.19000006
29.6,,-1.49267756938934,-1.49267756938934,-2.7600048,0.15999997
29.7,,-0.876982808113098,-0.876982808113098,-3.0300043,0.13
29.8,,-0.771643042564392,-0.771643042564392,-2.5099964,0.110000014
29.9,,-1.37849080562592,-1.37849080562592,-1.989997,0.09000003
30,,-1.94244372844696,-1.94244372844696,-1.3799976,0.08000004
30.1,,-0.625529289245606,-0.625529289245606,-0.7699982,0.07000005
30.2,,-1.07838249206543,-1.07838249206543,-0.8599981,0.060000062
30.3,,-0.644683063030243,-0.644683063030243,-0.949998,0.05000007
30.4,,-0.637732863426209,-0.637732863426209,-1.0399979,0.04000008
30.5,,0.041615694761276,0.041615694761276,-1.1300073,0.029999971
30.6,,-0.261190474033356,-0.261190474033356,-0.43000793,0.029999971
30.7,,-0.84598970413208,-0.84598970413208,-0.5199995,0.01999998
30.8,,-1.14960551261902,-1.14960551261902,-0.5199995,0.01999998
30.9,,-0.637913286685944,-0.637913286685944,-0.6099994,0.00999999
31,,-0.588171899318695,-0.588171899318695,-0.6099994,0.00999999
31.1,,-0.547610998153687,-0.547610998153687,-0.69999933,0
31.2,,-0.786867141723633,-0.786867141723633,-0.69999933,0
31.3,,-0.874358534812927,-0.874358534812927,0,0
31.4,,-0.935631275177002,-0.935631275177002,-0.78999925,-0.00999999
31.5,,-0.738246917724609,-0.738246917724609,-0.78999925,-0.00999999
31.6,,-0.860952734947205,-0.860952734947205,-0.089999914,-0.00999999
31.7,,-1.16324627399445,-1.16324627399445,-0.089999914,-0.00999999
31.8,,-0.876399397850037,-0.876399397850037,-0.089999914,-0.00999999
31.9,,-0.507113039493561,-0.507113039493561,-0.089999914,-0.00999999
32,,-1.17867290973663,-1.17867290973663,-0.87999916,-0.01999998
32.1,,-0.455225318670273,-0.455225318670273,-0.089999914,-0.00999999
32.2,,-0.537543177604675,-0.537543177604675,0.6099994,-0.00999999
32.3,,-0.737565279006958,-0.737565279006958,-0.87999916,-0.01999998
32.4,,-0.22647862136364,-0.22647862136364,-0.87999916,-0.01999998
32.5,,-0.595062971115112,-0.595062971115112,-0.17999983,-0.01999998
32.6,,-0.366025865077972,-0.366025865077972,-0.17999983,-0.01999998
32.7,,-0.257601261138916,-0.257601261138916,-0.17999983,-0.01999998
32.8,,-0.180875226855278,-0.180875226855278,-0.17999983,-0.01999998
32.9,,-0.570042371749878,-0.570042371749878,-0.9699991,-0.029999971
33,,-0.352298140525818,-0.352298140525818,-0.9699991,-0.029999971
33.1,,-0.467801541090012,-0.467801541090012,-0.26999974,-0.029999971
33.2,,-0.296203017234802,-0.296203017234802,-0.26999974,-0.029999971
33.3,,-0.633317708969116,-0.633317708969116,-1.059999,-0.03999996
33.4,,-0.38701456785202,-0.38701456785202,-0.26999974,-0.029999971
33.5,,-0.486848950386047,-0.486848950386047,-0.35999966,-0.03999996
33.6,,-0.306653499603271,-0.306653499603271,-1.059999,-0.03999996
