time,ref,meas,u,target_h,error,Target
118.2,,0.2088702917098999,0.2088702917098999,,0.089999974,0.80999976
118.30000000000001,,0.5669772028923035,0.5669772028923035,,0.07999998,0.020000517
118.4,,0.0345793217420578,0.0345793217420578,,0.07999998,0.020000517
118.5,,-0.010632479563355446,-0.010632479563355446,,0.07999998,0.71999985
118.60000000000001,,0.33550623059272766,0.33550623059272766,,0.07999998,0.71999985
118.7,,0.37211477756500244,0.37211477756500244,,0.07999998,0.71999985
118.80000000000001,,0.2791190445423126,0.2791190445423126,,0.07999998,0.71999985
118.9,,4.548704147338867,4.548704147338867,,0.58,8.72
119.0,,4.481942176818848,4.481942176818848,,0.57,8.56
119.10000000000001,,4.746273994445801,4.746273994445801,,0.57,4.430001
119.2,,3.2379608154296875,3.2379608154296875,,0.57,5.13
119.30000000000001,,3.454324245452881,3.454324245452881,,0.57,5.13
119.4,,2.512770891189575,2.512770891189575,,0.57,5.13
119.5,,2.9683446884155273,2.9683446884155273,,0.56,4.3400006
119.60000000000001,,0.6368523836135864,0.6368523836135864,,0.54999995,3.5499969
119.7,,3.5923173427581787,3.5923173427581787,,0.53999996,3.459997
119.80000000000001,,0.9704720377922058,0.9704720377922058,,0.53,3.370001
119.9,,2.121088981628418,2.121088981628418,,0.52,3.2800012
120.0,,2.5054869651794434,2.5054869651794434,,0.51,3.1900012
120.10000000000001,,2.562778949737549,2.562778949737549,,0.48999995,2.3099973
120.2,,0.43659770488739014,0.43659770488739014,,0.46999997,1.4299982
120.30000000000001,,2.7340874671936035,2.7340874671936035,,0.45999998,2.0400019
120.4,,0.4874955415725708,0.4874955415725708,,0.44,1.8600019
120.5,,1.6657090187072754,1.6657090187072754,,0.41999996,0.9799981
120.60000000000001,,2.9220662117004395,2.9220662117004395,,0.40999997,1.5899975
120.7,,2.618776798248291,2.618776798248291,,0.39,1.4100019
120.80000000000001,,1.5292643308639526,1.5292643308639526,,0.38,1.320002
120.9,,1.6115591526031494,1.6115591526031494,,0.36,1.1400021
121.0,,0.9404827356338501,0.9404827356338501,,0.35000002,1.0500022
121.10000000000001,,1.874058485031128,1.874058485031128,,0.32999992,0.869993
121.2,,0.6492040157318115,0.6492040157318115,,0.31999993,0.77999306
121.30000000000001,,1.1210545301437378,1.1210545301437378,,0.29999995,0.6000016
121.4,,0.7967372536659241,0.7967372536659241,,0.28999996,0.51000166
121.5,,1.4224371910095215,1.4224371910095215,,0.26999998,0.33000183
121.60000000000001,,0.05573982000350952,0.05573982000350952,,0.26,0.24000192
121.7,,0.5031358003616333,0.5031358003616333,,0.25,0.85000134
121.80000000000001,,-0.2494136244058609,-0.2494136244058609,,0.23000002,-0.029997826
121.9,,-0.747491180896759,-0.747491180896759,,0.22000003,-0.11999774
122.0,,0.7996863126754761,0.7996863126754761,,0.22000003,1.2800009
122.10000000000001,,0.7243219614028931,0.7243219614028931,,0.20999992,1.1899916
122.2,,-0.5759445428848267,-0.5759445428848267,,0.19999993,0.39999235
122.30000000000001,,0.9149494171142578,0.9149494171142578,,0.18999994,0.31000078
122.4,,0.5451461672782898,0.5451461672782898,,0.18999994,1.0100001
122.5,,0.8653780221939087,0.8653780221939087,,0.17999995,0.9200002
122.60000000000001,,0.3509347140789032,0.3509347140789032,,0.16999996,0.13000095
122.7,,0.6371238231658936,0.6371238231658936,,0.16999996,0.8300003
122.80000000000001,,-0.6041156053543091,-0.6041156053543091,,0.16999996,1.5299996
122.9,,1.2389429807662964,1.2389429807662964,,0.16999996,1.5299996
123.0,,1.2300066947937012,1.2300066947937012,,0.15999997,0.74000037
123.10000000000001,,1.1217880249023438,1.1217880249023438,,0.15999997,0.74000037
123.2,,0.6492822766304016,0.6492822766304016,,0.15999997,1.4399997
123.30000000000001,,1.2362656593322754,1.2362656593322754,,0.15999997,1.4399997
123.4,,1.3273701667785645,1.3273701667785645,,0.14999998,0.65000045
123.5,,1.119254469871521,1.119254469871521,,0.14999998,0.65000045
123.60000000000001,,1.1709084510803223,1.1709084510803223,,0.14999998,1.3499998
123.7,,1.4938268661499023,1.4938268661499023,,0.14999998,1.3499998
123.80000000000001,,0.8329824209213257,0.8329824209213257,,0.14999998,1.3499998
123.9,,1.496705412864685,1.496705412864685,,0.14999998,1.3499998
124.0,,0.8344037532806396,0.8344037532806396,,0.14999998,1.3499998
124.10000000000001,,2.00184965133667,2.00184965133667,,0.15999997,2.1399992
124.2,,1.6067039966583252,1.6067039966583252,,0.15999997,2.1399992
124.30000000000001,,1.134092092514038,1.134092092514038,,0.15999997,1.4399997
124.4,,1.7287483215332031,1.7287483215332031,,0.15999997,1.4399997
124.5,,1.3174413442611694,1.3174413442611694,,0.15999997,1.4399997
124.60000000000001,,0.6228012442588806,0.6228012442588806,,0.16999996,2.2299988
124.7,,1.7460674047470093,1.7460674047470093,,0.16999996,2.2299988
124.80000000000001,,0.9575302004814148,0.9575302004814148,,0.16999996,1.5299996
124.9,,2.1092922687530518,2.1092922687530518,,0.16999996,1.5299996
125.0,,1.5550177097320557,1.5550177097320557,,0.17999995,2.319999
125.10000000000001,,1.2316590547561646,1.2316590547561646,,0.17999995,2.319999
125.2,,1.103322148323059,1.103322148323059,,0.17999995,1.6199995
125.30000000000001,,2.0820178985595703,2.0820178985595703,,0.17999995,1.6199995
125.4,,1.1234110593795776,1.1234110593795776,,0.18999994,2.4099987
125.5,,1.1791174411773682,1.1791174411773682,,0.18999994,2.4099987
125.60000000000001,,1.6522947549819946,1.6522947549819946,,0.19999993,2.4999986
125.7,,1.9012540578842163,1.9012540578842163,,0.19999993,2.4999986
125.80000000000001,,0.643638014793396,0.643638014793396,,0.19999993,1.7999994
125.9,,1.2334787845611572,1.2334787845611572,,0.20999992,2.5899987
126.0,,2.624995231628418,2.624995231628418,,0.20999992,2.5899987
126.10000000000001,,1.9910223484039307,1.9910223484039307,,0.22000003,2.680008
126.2,,1.5303086042404175,1.5303086042404175,,0.22000003,2.680008
126.30000000000001,,0.8289403915405273,0.8289403915405273,,0.22000003,1.9800003
126.4,,1.0275613069534302,1.0275613069534302,,0.22000003,1.9800003
126.5,,1.679650902748108,1.679650902748108,,0.22000003,1.9800003
126.60000000000001,,1.2339868545532227,1.2339868545532227,,0.23000002,2.7699995
126.7,,1.4437055587768555,1.4437055587768555,,0.23000002,2.7699995
126.80000000000001,,2.0546209812164307,2.0546209812164307,,0.23000002,2.0700002
126.9,,2.0999090671539307,2.0999090671539307,,0.23000002,2.0700002
127.0,,2.2582502365112305,2.2582502365112305,,0.24000001,2.8599994
127.10000000000001,,2.101768732070923,2.101768732070923,,0.24000001,2.8599994
