# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
6.600000000000000311e-01,5.417871780804823345e+00,6.146563265060578374e-01,6.146563265060578374e-01,0.000000000000000000e+00
6.700000000000000400e-01,5.424014219844109697e+00,6.142439039286351488e-01,6.142439039286351488e-01,0.000000000000000000e+00
6.800000000000000488e-01,5.430152474034226628e+00,6.138254190116931852e-01,6.138254190116931852e-01,0.000000000000000000e+00
6.900000000000000577e-01,5.436286482793085462e+00,6.134008758858833232e-01,6.134008758858833232e-01,0.000000000000000000e+00
7.000000000000000666e-01,5.442416185580494670e+00,6.129702787409208042e-01,6.129702787409208042e-01,0.000000000000000000e+00
7.099999999999999645e-01,5.448541521898762952e+00,6.125336318268281843e-01,6.125336318268281843e-01,0.000000000000000000e+00
7.199999999999999734e-01,5.454662431293293423e+00,6.120909394530471559e-01,6.120909394530471559e-01,0.000000000000000000e+00
7.299999999999999822e-01,5.460778853353181361e+00,6.116422059887938190e-01,6.116422059887938190e-01,0.000000000000000000e+00
7.399999999999999911e-01,5.466890727711811060e+00,6.111874358629698634e-01,6.111874358629698634e-01,0.000000000000000000e+00
7.500000000000000000e-01,5.472997994047450021e+00,6.107266335638961152e-01,6.107266335638961152e-01,0.000000000000000000e+00
7.600000000000000089e-01,5.479100592083844035e+00,6.102598036394013548e-01,6.102598036394013548e-01,0.000000000000000000e+00
7.700000000000000178e-01,5.485198461590814922e+00,6.097869506970887699e-01,6.097869506970887699e-01,0.000000000000000000e+00
7.800000000000000266e-01,5.491291542384852953e+00,6.093080794038030490e-01,6.093080794038030490e-01,0.000000000000000000e+00
7.900000000000000355e-01,5.497379774329710145e+00,6.088231944857191991e-01,6.088231944857191991e-01,0.000000000000000000e+00
8.000000000000000444e-01,5.503463097336994458e+00,6.083323007284313633e-01,6.083323007284313633e-01,0.000000000000000000e+00
8.100000000000000533e-01,5.509541451366764875e+00,6.078354029770416389e-01,6.078354029770416389e-01,0.000000000000000000e+00
8.200000000000000622e-01,5.515614776428120258e+00,6.073325061355383525e-01,6.073325061355383525e-01,0.000000000000000000e+00
8.300000000000000711e-01,5.521683012579794436e+00,6.068236151674177847e-01,6.068236151674177847e-01,0.000000000000000000e+00
8.399999999999999689e-01,5.527746099930745949e+00,6.063087350951512633e-01,6.063087350951512633e-01,0.000000000000000000e+00
8.499999999999999778e-01,5.533803978640751353e+00,6.057878710005404344e-01,6.057878710005404344e-01,0.000000000000000000e+00
8.599999999999999867e-01,5.539856588920993197e+00,6.052610280241843554e-01,6.052610280241843554e-01,0.000000000000000000e+00
8.699999999999999956e-01,5.545903871034650656e+00,6.047282113657459490e-01,6.047282113657459490e-01,0.000000000000000000e+00
