# meas,ref,error,kp,ki,kd,kpd, u
4.502676039830054155e-01,4.550418302731133458e-01,4.774226290107930204e-03,4.774226290107930204e-02,1.920713753022725845e-01,-1.404408421679104180e-03,4.633785447940019786e-02,2.384092297816727823e-01
4.503030962535259918e-01,4.550418302731133458e-01,4.738734019587353963e-03,4.738734019587353963e-02,1.924267803537416388e-01,-1.419690820823049648e-03,4.596764937505048998e-02,2.383944297287921288e-01
4.503388225834963898e-01,4.550418302731133458e-01,4.703007689616955922e-03,4.703007689616955922e-02,1.927795059304629188e-01,-1.429053198815921633e-03,4.560102369735363759e-02,2.383805296278165564e-01
4.503746439719067962e-01,4.550418302731133458e-01,4.667186301206549537e-03,4.667186301206549537e-02,1.931295449030533962e-01,-1.432855536416255404e-03,4.523900747564923996e-02,2.383685523787026361e-01
4.504104406462661192e-01,4.550418302731133458e-01,4.631389626847226548e-03,4.631389626847226548e-02,1.934768991250669645e-01,-1.431866974372919543e-03,4.488202929409934594e-02,2.383589284191663105e-01
4.504461163669789547e-01,4.550418302731133458e-01,4.595713906134391014e-03,4.595713906134391014e-02,1.938215776680270452e-01,-1.427028828513421388e-03,4.453011023283048875e-02,2.383516879008575340e-01
4.504815987288622314e-01,4.550418302731133458e-01,4.560231544251114322e-03,4.560231544251114322e-02,1.941635950338458649e-01,-1.419294475331067673e-03,4.418302096718007554e-02,2.383466160010259405e-01
4.505168370129176703e-01,4.550418302731133458e-01,4.524993260195675493e-03,4.524993260195675493e-02,1.945029695283605198e-01,-1.409531362217553152e-03,4.384040123973920178e-02,2.383433707680997216e-01
4.505517987668159474e-01,4.550418302731133458e-01,4.490031506297398334e-03,4.490031506297398334e-02,1.948397218913328066e-01,-1.398470155931086367e-03,4.350184490704289697e-02,2.383415667983757036e-01
4.505864659508598824e-01,4.550418302731133458e-01,4.455364322253463349e-03,4.455364322253463349e-02,1.951738742155018080e-01,-1.386687361757399373e-03,4.316695586077723412e-02,2.383408300762790422e-01
4.506208311978284753e-01,4.550418302731133458e-01,4.420999075284870461e-03,4.420999075284870461e-02,1.955054491461481747e-01,-1.374609878743715541e-03,4.283538087410498907e-02,2.383408300202531638e-01
4.506548945071614520e-01,4.550418302731133458e-01,4.386935765951893718e-03,4.386935765951893718e-02,1.958344693285945792e-01,-1.362532373319069734e-03,4.250682528619986744e-02,2.383412946147944467e-01
4.506886605248042743e-01,4.550418302731133458e-01,4.353169748309071441e-03,4.353169748309071441e-02,1.961609570597177554e-01,-1.350640705712891076e-03,4.218105677737782333e-02,2.383420138370955788e-01
4.507221364429798705e-01,4.550418302731133458e-01,4.319693830133475299e-03,4.319693830133475299e-02,1.964849340969777869e-01,-1.339036727023845685e-03,4.185790157431090730e-02,2.383428356712886942e-01
