# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
3.739999999999999991e-01,5.892468665467796851e-02,1.559908258781210477e-01,1.559908258781210477e-01,0.000000000000000000e+00
3.760000000000000009e-01,5.923664504390110247e-02,1.559791946115669792e-01,1.559791946115669792e-01,0.000000000000000000e+00
3.780000000000000027e-01,5.954858004743490696e-02,1.559675017669022445e-01,1.559675017669022445e-01,0.000000000000000000e+00
3.800000000000000044e-01,5.986049154213237550e-02,1.559557473487342694e-01,1.559557473487342694e-01,0.000000000000000000e+00
3.820000000000000062e-01,6.017237940485579278e-02,1.559439313617086431e-01,1.559439313617086431e-01,0.000000000000000000e+00
3.840000000000000080e-01,6.048424351247676245e-02,1.559320538104848330e-01,1.559320538104848330e-01,0.000000000000000000e+00
3.860000000000000098e-01,6.079608374187628339e-02,1.559201146997604703e-01,1.559201146997604703e-01,0.000000000000000000e+00
3.880000000000000115e-01,6.110789996994476364e-02,1.559081140342401250e-01,1.559081140342401250e-01,0.000000000000000000e+00
3.900000000000000133e-01,6.141969207358209670e-02,1.558960518186665312e-01,1.558960518186665312e-01,0.000000000000000000e+00
3.920000000000000151e-01,6.173145992969770318e-02,1.558839280578032394e-01,1.558839280578032394e-01,0.000000000000000000e+00
3.940000000000000169e-01,6.204320341521056548e-02,1.558717427564311475e-01,1.558717427564311475e-01,0.000000000000000000e+00
3.960000000000000187e-01,6.235492240704929023e-02,1.558594959193623786e-01,1.558594959193623786e-01,0.000000000000000000e+00
3.980000000000000204e-01,6.266661678215217079e-02,1.558471875514402805e-01,1.558471875514402805e-01,0.000000000000000000e+00
4.000000000000000222e-01,6.297828641746718026e-02,1.558348176575047317e-01,1.558348176575047317e-01,0.000000000000000000e+00
4.020000000000000240e-01,6.328993118995210332e-02,1.558223862424615302e-01,1.558223862424615302e-01,0.000000000000000000e+00
4.040000000000000258e-01,6.360155097657450851e-02,1.558098933112025963e-01,1.558098933112025963e-01,0.000000000000000000e+00
4.060000000000000275e-01,6.391314565431184536e-02,1.557973388686684224e-01,1.557973388686684224e-01,0.000000000000000000e+00
4.080000000000000293e-01,6.422471510015147211e-02,1.557847229198133787e-01,1.557847229198133787e-01,0.000000000000000000e+00
4.100000000000000311e-01,6.453625919109068354e-02,1.557720454696057133e-01,1.557720454696057133e-01,0.000000000000000000e+00
4.120000000000000329e-01,6.484777780413683579e-02,1.557593065230761242e-01,1.557593065230761242e-01,0.000000000000000000e+00
4.140000000000000346e-01,6.515927081630730477e-02,1.557465060852344929e-01,1.557465060852344929e-01,0.000000000000000000e+00
4.160000000000000364e-01,6.547073810462956944e-02,1.557336441611323341e-01,1.557336441611323341e-01,0.000000000000000000e+00
4.179999999999999827e-01,6.578217954614129503e-02,1.557207207558627959e-01,1.557207207558627959e-01,0.000000000000000000e+00
4.199999999999999845e-01,6.609359501789031921e-02,1.557077358745120876e-01,1.557077358745120876e-01,0.000000000000000000e+00
4.219999999999999862e-01,6.640498439693474919e-02,1.556946895222149907e-01,1.556946895222149907e-01,0.000000000000000000e+00
4.239999999999999880e-01,6.671634756034300340e-02,1.556815817041271033e-01,1.556815817041271033e-01,0.000000000000000000e+00
4.259999999999999898e-01,6.702768438519381144e-02,1.556684124254040236e-01,1.556684124254040236e-01,0.000000000000000000e+00
4.279999999999999916e-01,6.733899474857633904e-02,1.556551816912637998e-01,1.556551816912637998e-01,0.000000000000000000e+00
4.299999999999999933e-01,6.765027852759018800e-02,1.556418895069244801e-01,1.556418895069244801e-01,0.000000000000000000e+00
4.319999999999999951e-01,6.796153559934545174e-02,1.556285358776318684e-01,1.556285358776318684e-01,0.000000000000000000e+00
4.339999999999999969e-01,6.827276584096275691e-02,1.556151208086525850e-01,1.556151208086525850e-01,0.000000000000000000e+00
4.359999999999999987e-01,6.858396912957336056e-02,1.556016443053018228e-01,1.556016443053018228e-01,0.000000000000000000e+00
4.380000000000000004e-01,6.889514534231908072e-02,1.555881063728600799e-01,1.555881063728600799e-01,0.000000000000000000e+00
4.400000000000000022e-01,6.920629435635253235e-02,1.555745070167258159e-01,1.555745070167258159e-01,0.000000000000000000e+00
4.420000000000000040e-01,6.951741604883697467e-02,1.555608462422211624e-01,1.555608462422211624e-01,0.000000000000000000e+00
4.440000000000000058e-01,6.982851029694650546e-02,1.555471240547653955e-01,1.555471240547653955e-01,0.000000000000000000e+00
4.460000000000000075e-01,7.013957697786604717e-02,1.555333404597708524e-01,1.555333404597708524e-01,0.000000000000000000e+00
4.480000000000000093e-01,7.045061596879138854e-02,1.555194954626706871e-01,1.555194954626706871e-01,0.000000000000000000e+00
4.500000000000000111e-01,7.076162714692926792e-02,1.555055890689396869e-01,1.555055890689396869e-01,0.000000000000000000e+00
4.520000000000000129e-01,7.107261038949740095e-02,1.554916212840665168e-01,1.554916212840665168e-01,0.000000000000000000e+00
4.540000000000000147e-01,7.138356557372452227e-02,1.554775921135606587e-01,1.554775921135606587e-01,0.000000000000000000e+00
4.560000000000000164e-01,7.169449257685045485e-02,1.554635015629662886e-01,1.554635015629662886e-01,0.000000000000000000e+00
4.580000000000000182e-01,7.200539127612613777e-02,1.554493496378414608e-01,1.554493496378414608e-01,0.000000000000000000e+00
4.600000000000000200e-01,7.231626154881369561e-02,1.554351363437789235e-01,1.554351363437789235e-01,0.000000000000000000e+00
4.620000000000000218e-01,7.262710327218645234e-02,1.554208616863783643e-01,1.554208616863783643e-01,0.000000000000000000e+00
