time,ref,meas,u,Target
20.7,-0.020505,-0.738706052303314,-0.738706052303314,-0.63270634
20.8,-0.020347618,-0.407875418663025,-0.407875418663025,-0.6342324
20.9,-0.020191442,0.207905441522598,0.207905441522598,-0.6357468
21,-0.020036466,-0.12840761244297,-0.12840761244297,-0.63724947
21.1,-0.019882679,-1.08139777183533,-1.08139777183533,-0.6387407
21.2,-0.019730072,-0.500997543334961,-0.500997543334961,-0.64022046
21.3,-0.019578638,-0.713220596313477,-0.713220596313477,-0.6416888
21.4,-0.019428365,-0.552336931228638,-0.552336931228638,-0.643146
21.5,-0.019279245,-0.804417371749878,-0.804417371749878,-0.6445919
21.6,-0.019131271,-1.09146964550018,-1.09146964550018,-0.6460268
21.7,-0.018984431,-0.950919806957245,-0.950919806957245,-0.6474506
21.8,-0.01883872,-1.00910627841949,-1.00910627841949,-0.6488635
21.9,-0.018694127,-0.459114968776703,-0.459114968776703,-0.6502656
22,-0.018550642,-0.724077820777893,-0.724077820777893,-0.65165687
22.1,-0.01840826,-0.55528724193573,-0.55528724193573,-0.6530375
22.2,-0.01826697,-1.0237717628479,-1.0237717628479,-0.6544075
22.3,-0.018126765,-0.636725306510925,-0.636725306510925,-0.655767
22.4,-0.017987635,-0.772341132164001,-0.772341132164001,-0.65711606
22.5,-0.017849574,-0.394777059555054,-0.394777059555054,-0.6584548
22.6,-0.017712573,-0.857981622219086,-0.857981622219086,-0.65978324
22.7,-0.017576622,-0.591673910617828,-0.591673910617828,-0.6611015
22.8,-0.017441716,-0.737860679626465,-0.737860679626465,-0.6624096
22.9,-0.017307844,-0.559032559394836,-0.559032559394836,-0.66370773
23,-0.017175,-0.510438323020935,-0.510438323020935,-0.66499585
23.1,-0.017043177,-1.01158452033997,-1.01158452033997,-0.6662741
23.2,-0.016912365,0.140234351158142,0.140234351158142,-0.6675425
23.3,-0.016782556,-1.0083976984024,-1.0083976984024,-0.6688012
23.4,-0.016653745,-0.307535529136658,-0.307535529136658,-0.6700502
23.5,-0.01652592,-0.834274888038635,-0.834274888038635,-0.6712897
23.6,-0.01639908,-0.585231900215149,-0.585231900215149,-0.6725196
23.7,-0.01627321,-1.03190875053406,-1.03190875053406,-0.6737401
23.8,-0.016148308,-0.783348083496094,-0.783348083496094,-0.6749512
23.9,-0.016024364,-0.963570833206177,-0.963570833206177,-0.67615306
24,-0.015901372,-0.446741282939911,-0.446741282939911,-0.67734563
24.1,-0.015779324,-0.8721022605896,-0.8721022605896,-0.6785291
24.2,-0.015658211,-0.595511019229889,-0.595511019229889,-0.6797035
24.3,-0.015538029,-0.346725732088089,-0.346725732088089,-0.6808688
24.4,-0.01541877,-0.84492427110672,-0.84492427110672,-0.6820252
24.5,-0.015300425,-0.588125765323639,-0.588125765323639,-0.68317276
24.6,-0.015182989,-0.736896514892578,-0.736896514892578,-0.68431145
24.7,-0.015066454,-0.558770596981049,-0.558770596981049,-0.68544143
24.8,-0.014950815,-0.654778838157654,-0.654778838157654,-0.6865628
24.9,-0.014836062,-0.755008697509766,-0.755008697509766,-0.6876755
25,-0.01472219,-0.563692331314087,-0.563692331314087,-0.68877965
25.1,-0.014609192,-0.903882205486298,-0.903882205486298,-0.6898753
25.2,-0.014497061,-0.279134780168533,-0.279134780168533,-0.6909626
25.3,-0.0143857915,-1.12235593795776,-1.12235593795776,-0.6920415
25.4,-0.014275376,-0.663514256477356,-0.663514256477356,-0.6931122
25.5,-0.014165807,-0.365204751491547,-0.365204751491547,-0.69417465
25.6,-0.014057079,-0.849945724010468,-0.849945724010468,-0.69522893
25.7,-0.013949187,0.479956209659576,0.479956209659576,-0.6962751
25.8,-0.013842122,-0.742457568645477,-0.742457568645477,-0.69731325
25.9,-0.013735878,-0.856080234050751,-0.856080234050751,-0.69834346
26,-0.013630451,-1.27913343906403,-1.27913343906403,-0.69936574
26.1,-0.013525832,-0.532491385936737,-0.532491385936737,-0.70038015
26.2,-0.013422017,-0.503226101398468,-0.503226101398468,-0.7013868
26.3,-0.013318999,-0.88745129108429,-0.88745129108429,-0.7023857
