time,ref,meas,u,Target,error
10.4,,-1.0068359375,-1.0068359375,-0.39185336,-0.045344044
10.5,,-1.0068359375,-1.0068359375,-0.39522806,-0.044996012
10.6,,-1.0068359375,-1.0068359375,-0.39857686,-0.04465065
10.7,,-1.0068359375,-1.0068359375,-0.40189996,-0.044307943
10.8,,-1.0068359375,-1.0068359375,-0.40519756,-0.043967865
10.9,,-1.0068359375,-1.0068359375,-0.40846983,-0.043630395
11,,-1.0068359375,-1.0068359375,-0.411717,-0.043295518
11.1,,-1.0068359375,-1.0068359375,-0.41493922,-0.04296321
11.2,,-1.0068359375,-1.0068359375,-0.41813675,-0.04263345
11.3,,-1.0068359375,-1.0068359375,-0.4213097,-0.042306226
11.4,,-1.0068359375,-1.0068359375,-0.42445832,-0.04198151
11.5,,-1.0068359375,-1.0068359375,-0.42758277,-0.041659288
11.6,,-1.0068359375,-1.0068359375,-0.43068323,-0.04133954
11.7,,-1.0068359375,-1.0068359375,-0.4337599,-0.041022245
11.8,,-1.0068359375,-1.0068359375,-0.43681297,-0.040707383
11.9,,-1.0068359375,-1.0068359375,-0.43984258,-0.04039494
12,,-1.0068359375,-1.0068359375,-0.44284895,-0.040084895
12.1,,-1.0068359375,-1.0068359375,-0.44583222,-0.03977723
12.2,,-1.0068359375,-1.0068359375,-0.44879264,-0.039471924
12.3,,-1.0068359375,-1.0068359375,-0.4517303,-0.039168965
12.4,,-1.0068359375,-1.0068359375,-0.45464543,-0.03886833
12.5,,-1.0068359375,-1.0068359375,-0.4575382,-0.03857
12.6,,-1.0068359375,-1.0068359375,-0.46040872,-0.038273964
12.7,,-1.0068359375,-1.0068359375,-0.46325725,-0.0379802
12.8,,-1.0068359375,-1.0068359375,-0.46608388,-0.037688687
12.9,,-1.0068359375,-1.0068359375,-0.46888885,-0.037399415
13,,-1.0068359375,-1.0068359375,-0.47167227,-0.03711236
13.1,,-1.0068359375,-1.0068359375,-0.47443435,-0.03682751
13.2,,-1.0068359375,-1.0068359375,-0.4771752,-0.036544845
13.3,,-1.0068359375,-1.0068359375,-0.47989503,-0.036264353
13.4,,-1.0068359375,-1.0068359375,-0.48259398,-0.03598601
13.5,,-1.0068359375,-1.0068359375,-0.4852722,-0.035709806
13.6,,-1.0068359375,-1.0068359375,-0.48792988,-0.03543572
13.7,,-1.0068359375,-1.0068359375,-0.49056718,-0.035163738
13.8,,-1.0068359375,-1.0068359375,-0.4931842,-0.034893844
13.9,,-1.0068359375,-1.0068359375,-0.49578115,-0.034626022
14,,-1.0068359375,-1.0068359375,-0.4983582,-0.034360256
14.1,,-1.0068359375,-1.0068359375,-0.5009154,-0.034096528
14.2,,-1.0068359375,-1.0068359375,-0.503453,-0.033834826
14.3,,-1.0068359375,-1.0068359375,-0.5059712,-0.033575132
14.4,,-1.0068359375,-1.0068359375,-0.50847,-0.03331743
14.5,,-1.0068359375,-1.0068359375,-0.5109496,-0.03306171
14.6,,-1.0068359375,-1.0068359375,-0.5134102,-0.03280795
14.7,,-1.0068359375,-1.0068359375,-0.5158519,-0.032556135
14.8,,-1.0068359375,-1.0068359375,-0.5182749,-0.032306258
14.9,,-1.0068359375,-1.0068359375,-0.52067924,-0.032058295
15,,-1.0068359375,-1.0068359375,-0.52306515,-0.031812236
15.1,,-1.0068359375,-1.0068359375,-0.52543277,-0.031568065
15.2,,-1.0068359375,-1.0068359375,-0.5277822,-0.031325772
15.3,,-1.0068359375,-1.0068359375,-0.5301136,-0.031085335
15.4,,-1.0068359375,-1.0068359375,-0.53242713,-0.030846745
15.5,,-1.0068359375,-1.0068359375,-0.53472286,-0.030609986
15.6,,-1.0068359375,-1.0068359375,-0.537001,-0.030375043
15.7,,-1.0068359375,-1.0068359375,-0.53926164,-0.030141905
15.8,,-1.0068359375,-1.0068359375,-0.5415049,-0.029910555
15.9,,-1.0068359375,-1.0068359375,-0.543731,-0.02968098
16,,-1.0068359375,-1.0068359375,-0.54594,-0.02945317
16.1,,-1.0068359375,-1.0068359375,-0.548132,-0.029227106
16.2,,-1.0068359375,-1.0068359375,-0.5503072,-0.029002778
16.3,,-1.0068359375,-1.0068359375,-0.55246574,-0.028780172
16.4,,-1.0068359375,-1.0068359375,-0.5546077,-0.028559273
16.5,,-1.0068359375,-1.0068359375,-0.5567332,-0.028340071
16.6,,-1.0068359375,-1.0068359375,-0.55884236,-0.028122552
16.7,,-1.0068359375,-1.0068359375,-0.5609354,-0.027906701
16.8,,-1.0068359375,-1.0068359375,-0.5630123,-0.027692508
16.9,,-1.0068359375,-1.0068359375,-0.5650733,-0.027479958
17,,-1.0068359375,-1.0068359375,-0.5671185,-0.02726904
17.1,,-1.0068359375,-1.0068359375,-0.569148,-0.027059741
17.2,,-1.0068359375,-1.0068359375,-0.57116187,-0.026852047
17.3,,-1.0068359375,-1.0068359375,-0.57316035,-0.02664595
17.4,,-1.0068359375,-1.0068359375,-0.57514346,-0.026441433
17.5,,-1.0068359375,-1.0068359375,-0.5771113,-0.026238486
17.6,,-1.0068359375,-1.0068359375,-0.57906413,-0.026037095
17.7,,-1.0068359375,-1.0068359375,-0.5810019,-0.025837252
17.8,,-1.0068359375,-1.0068359375,-0.58292484,-0.025638942
17.9,,-1.0068359375,-1.0068359375,-0.58483297,-0.025442155
18,,-1.0068359375,-1.0068359375,-0.5867265,-0.025246877
18.1,,-1.0068359375,-1.0068359375,-0.58860546,-0.025053099
18.2,,-1.0068359375,-1.0068359375,-0.59047,-0.024860807
18.3,,-1.0068359375,-1.0068359375,-0.59232026,-0.024669992
18.4,,-1.0068359375,-1.0068359375,-0.5941563,-0.02448064
18.5,,-1.0068359375,-1.0068359375,-0.5959783,-0.024292745
18.6,,-1.0068359375,-1.0068359375,-0.59778625,-0.024106288
18.7,,-1.0068359375,-1.0068359375,-0.59958035,-0.023921264
18.8,,-1.0068359375,-1.0068359375,-0.6013607,-0.023737662
18.9,,-1.0068359375,-1.0068359375,-0.60312736,-0.023555467
19,,-1.0068359375,-1.0068359375,-0.60488045,-0.02337467
19.1,,-1.0068359375,-1.0068359375,-0.6066201,-0.023195261
19.2,,-1.0068359375,-1.0068359375,-0.6083464,-0.02301723
19.3,,-1.0068359375,-1.0068359375,-0.61005944,-0.022840565
19.4,,-1.0068359375,-1.0068359375,-0.6117593,-0.022665255
19.5,,-1.0068359375,-1.0068359375,-0.6134462,-0.022491291
19.6,,-1.0068359375,-1.0068359375,-0.61512005,-0.022318663
19.7,,-1.0068359375,-1.0068359375,-0.6167811,-0.02214736
19.8,,-1.0068359375,-1.0068359375,-0.6184294,-0.02197737
19.9,,-1.0068359375,-1.0068359375,-0.6200651,-0.021808688
20,,-1.0068359375,-1.0068359375,-0.6216882,-0.0216413
20.1,,-1.0068359375,-1.0068359375,-0.6232988,-0.021475194
